Initial model: acc_src:99.6292, acc_tar:67.7405
step 500 avg_div_loss 0.7472  acc_tar 67.9883 
step 1000 avg_div_loss 0.7272  acc_tar 70.1735 
step 1500 avg_div_loss 0.7048  acc_tar 72.3136 
step 2000 avg_div_loss 0.6781  acc_tar 74.4537 
step 2500 avg_div_loss 0.6496  acc_tar 76.3010 
step 3000 avg_div_loss 0.6293  acc_tar 76.8191 
step 3500 avg_div_loss 0.6098  acc_tar 77.7427 
step 4000 avg_div_loss 0.5985  acc_tar 77.8779 
step 4500 avg_div_loss 0.5898  acc_tar 78.2158 
step 5000 avg_div_loss 0.5809  acc_tar 78.5537 
step 5500 avg_div_loss 0.5729  acc_tar 78.7339 
step 6000 avg_div_loss 0.5658  acc_tar 78.8015 
step 6500 avg_div_loss 0.5587  acc_tar 79.0944 
step 7000 avg_div_loss 0.5563  acc_tar 79.0493 
step 7500 avg_div_loss 0.5533  acc_tar 79.4774 
step 8000 avg_div_loss 0.5492  acc_tar 79.2971 
step 8500 avg_div_loss 0.5451  acc_tar 79.3872 
step 9000 avg_div_loss 0.5424  acc_tar 79.4774 
step 9500 avg_div_loss 0.5387  acc_tar 79.4548 
step 10000 avg_div_loss 0.5363  acc_tar 79.7702 
step 10500 avg_div_loss 0.5345  acc_tar 79.7252 
step 11000 avg_div_loss 0.5324  acc_tar 79.7477 
step 11500 avg_div_loss 0.5306  acc_tar 79.8153 
step 12000 avg_div_loss 0.5289  acc_tar 79.7927 
step 12500 avg_div_loss 0.5268  acc_tar 79.8153 
step 13000 avg_div_loss 0.5255  acc_tar 79.8603 
step 13500 avg_div_loss 0.5238  acc_tar 79.9054 
step 14000 avg_div_loss 0.5215  acc_tar 79.8603 
step 14500 avg_div_loss 0.5218  acc_tar 79.9054 
step 15000 avg_div_loss 0.5206  acc_tar 79.9955 
step 15500 avg_div_loss 0.5196  acc_tar 79.8603 
step 16000 avg_div_loss 0.5186  acc_tar 79.9730 
step 16500 avg_div_loss 0.5185  acc_tar 80.0180 
step 17000 avg_div_loss 0.5160  acc_tar 80.0405 
step 17500 avg_div_loss 0.5157  acc_tar 79.8829 
step 18000 avg_div_loss 0.5150  acc_tar 79.9279 
step 18500 avg_div_loss 0.5145  acc_tar 79.9504 
step 19000 avg_div_loss 0.5137  acc_tar 79.8829 
step 19500 avg_div_loss 0.5126  acc_tar 79.9955 
step 20000 avg_div_loss 0.5116  acc_tar 80.0405 
step 20500 avg_div_loss 0.5118  acc_tar 80.0405 
step 21000 avg_div_loss 0.5105  acc_tar 80.0180 
step 21500 avg_div_loss 0.5104  acc_tar 80.0631 
step 22000 avg_div_loss 0.5103  acc_tar 80.0180 
